#ID	REP	MAP1	MAP2	NE	SIGA	VS	MIG
1	1	121	176	100	1	196	1.75
1	1	22	35	100	1	196	1.75
1	1	109	150	100	1	196	1.75
1	1	11	83	100	1	196	1.75
1	1	3	59	100	1	196	1.75
1	1	113	157	100	1	196	1.75
1	1	64	155	100	1	196	1.75
1	1	89	195	100	1	196	1.75
1	1	139	147	100	1	196	1.75
1	1	37	109	100	1	196	1.75
1	1	74	112	100	1	196	1.75
1	1	21	143	100	1	196	1.75
1	1	142	191	100	1	196	1.75
1	1	27	83	100	1	196	1.75
1	1	14	128	100	1	196	1.75
1	1	114	172	100	1	196	1.75
1	1	30	71	100	1	196	1.75
1	1	67	74	100	1	196	1.75
1	1	43	104	100	1	196	1.75
1	1	37	164	100	1	196	1.75
1	1	29	194	100	1	196	1.75
1	1	29	169	100	1	196	1.75
1	1	55	187	100	1	196	1.75
1	1	27	98	100	1	196	1.75
1	1	132	179	100	1	196	1.75
1	1	16	105	100	1	196	1.75
1	1	124	177	100	1	196	1.75
1	1	1	111	100	1	196	1.75
1	1	26	153	100	1	196	1.75
1	1	1	106	100	1	196	1.75
1	1	115	126	100	1	196	1.75
1	1	34	53	100	1	196	1.75
1	1	17	95	100	1	196	1.75
1	1	50	135	100	1	196	1.75
1	1	118	175	100	1	196	1.75
1	1	85	164	100	1	196	1.75
1	1	12	45	100	1	196	1.75
1	1	102	155	100	1	196	1.75
1	1	88	172	100	1	196	1.75
1	1	33	123	100	1	196	1.75
1	1	46	53	100	1	196	1.75
1	1	34	35	100	1	196	1.75
1	1	5	109	100	1	196	1.75
1	1	76	146	100	1	196	1.75
1	1	65	174	100	1	196	1.75
1	1	32	94	100	1	196	1.75
1	1	82	139	100	1	196	1.75
1	1	32	156	100	1	196	1.75
1	1	32	161	100	1	196	1.75
1	1	152	160	100	1	196	1.75
1	1	124	133	100	1	196	1.75
1	1	47	86	100	1	196	1.75
1	1	87	170	100	1	196	1.75
1	1	121	198	100	1	196	1.75
1	1	88	198	100	1	196	1.75
1	1	64	129	100	1	196	1.75
1	1	21	168	100	1	196	1.75
1	1	12	97	100	1	196	1.75
1	1	102	143	100	1	196	1.75
1	1	36	58	100	1	196	1.75
1	1	151	195	100	1	196	1.75
1	1	37	119	100	1	196	1.75
1	1	24	125	100	1	196	1.75
1	1	129	184	100	1	196	1.75
1	1	43	189	100	1	196	1.75
1	1	65	168	100	1	196	1.75
1	1	149	183	100	1	196	1.75
1	1	56	175	100	1	196	1.75
1	1	22	161	100	1	196	1.75
1	1	133	149	100	1	196	1.75
1	1	120	183	100	1	196	1.75
1	1	10	195	100	1	196	1.75
1	1	49	143	100	1	196	1.75
1	1	91	174	100	1	196	1.75
1	1	8	80	100	1	196	1.75
1	1	74	102	100	1	196	1.75
1	1	123	157	100	1	196	1.75
1	1	132	139	100	1	196	1.75
1	1	153	192	100	1	196	1.75
1	1	19	115	100	1	196	1.75
1	1	12	105	100	1	196	1.75
1	1	28	124	100	1	196	1.75
1	1	76	91	100	1	196	1.75
1	1	6	179	100	1	196	1.75
1	1	52	187	100	1	196	1.75
1	1	97	105	100	1	196	1.75
1	1	75	132	100	1	196	1.75
1	1	84	136	100	1	196	1.75
1	1	60	99	100	1	196	1.75
1	1	98	170	100	1	196	1.75
1	1	50	137	100	1	196	1.75
1	1	61	110	100	1	196	1.75
1	1	113	180	100	1	196	1.75
1	1	109	137	100	1	196	1.75
1	1	9	96	100	1	196	1.75
1	1	50	163	100	1	196	1.75
1	1	97	154	100	1	196	1.75
1	1	5	177	100	1	196	1.75
1	1	41	59	100	1	196	1.75
1	1	69	123	100	1	196	1.75
1	1	24	159	100	1	196	1.75
1	1	1	68	100	1	196	1.75
1	1	15	45	100	1	196	1.75
1	1	6	24	100	1	196	1.75
1	1	20	50	100	1	196	1.75
1	1	182	195	100	1	196	1.75
1	1	34	154	100	1	196	1.75
1	1	83	94	100	1	196	1.75
1	1	113	115	100	1	196	1.75
1	1	33	120	100	1	196	1.75
1	1	52	112	100	1	196	1.75
1	1	70	126	100	1	196	1.75
1	1	38	175	100	1	196	1.75
1	1	58	147	100	1	196	1.75
